caldt,sprtrn
19900910,-0.005473
19900911,-0.001834
19900912,0.004672
19900913,-0.012061
19900914,-0.005712
19900917,0.002967
19900918,0.002612
19900919,-0.006277
19900920,-0.016172
19900921,-0.000514
19900924,-0.021618
19900925,0.012049
19900926,-0.010381
19900927,-0.013407
19900928,0.016879
19901001,0.029048
19901002,0.000857
19901003,-0.012087
19901004,0.004143
19901005,-0.003806
19901008,0.006356
19901009,-0.026732
19901010,-0.015438
19901011,-0.016412
19901012,0.015467
19901015,0.010666
19901016,-0.014214
19901017,-0.000535
19901018,0.023363
19901019,0.022045
19901022,0.007296
19901023,-0.007625
19901024,0.000768
19901025,-0.007774
19901026,-0.017603
19901029,-0.009288
19901030,0.007221
19901031,-0.000197
19901101,0.009934
19901102,0.015732
