gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
003619,000003,19640331,20001210,S&P 500 Comp-Ltd,I0003,CCK,228368106
005250,000003,19640331,20001210,S&P 500 Comp-Ltd,I0003,GRA,38388F108
009548,000003,19640331,20001210,S&P 500 Comp-Ltd,I0003,VO.3,811850106
008657,000003,19640331,20001211,S&P 500 Comp-Ltd,I0003,PRDCQ,731095105
010857,000003,19640331,20010206,S&P 500 Comp-Ltd,I0003,DOW2,905581104
008852,000003,19640331,20010802,S&P 500 Comp-Ltd,I0003,OAT.,747402105
010581,000003,19640331,20010806,S&P 500 Comp-Ltd,I0003,TKR,887389104
008151,000003,19640331,20010829,S&P 500 Comp-Ltd,I0003,OKE,682680103
010482,000003,19640331,20011009,S&P 500 Comp-Ltd,I0003,TX.2,881694103
006127,000003,19640331,20011129,S&P 500 Comp-Ltd,I0003,ENRNQ,293561106
005686,000003,19640331,20011216,S&P 500 Comp-Ltd,I0003,HM,437614100
004510,000003,19640331,20020101,S&P 500 Comp-Ltd,I0003,FMC,302491303
006307,000003,19640331,20020116,S&P 500 Comp-Ltd,I0003,SHLDQ,482584109
007180,000003,19640331,20020129,S&P 500 Comp-Ltd,I0003,MEA.1,582834107
007892,000003,19640331,20020131,S&P 500 Comp-Ltd,I0003,NMK,653520106
001243,000003,19640331,20020721,S&P 500 Comp-Ltd,I0003,AL.1,013716105
005905,000003,19640331,20020721,S&P 500 Comp-Ltd,I0003,INCLF,453258402
009267,000003,19640331,20020721,S&P 500 Comp-Ltd,I0003,RDPL,780257804
010846,000003,19640331,20020721,S&P 500 Comp-Ltd,I0003,UN,904784709
010301,000003,19640331,20021211,S&P 500 Comp-Ltd,I0003,TRW.1,872649108
001045,000003,19640331,20030313,S&P 500 Comp-Ltd,I0003,AAL,001765106
005735,000003,19640331,20030330,S&P 500 Comp-Ltd,I0003,HBC1,441815107
007536,000003,19640331,20030415,S&P 500 Comp-Ltd,I0003,PHA.1,71713U102
011535,000003,19640331,20041202,S&P 500 Comp-Ltd,I0003,WINN,974280109
003580,000003,19640331,20041219,S&P 500 Comp-Ltd,I0003,CR,224399105
009563,000003,19640331,20050327,S&P 500 Comp-Ltd,I0003,S.1,812387108
011038,000003,19640331,20050810,S&P 500 Comp-Ltd,I0003,UCL,915289102
007127,000003,19640331,20050828,S&P 500 Comp-Ltd,I0003,MAY.2,577778103
005169,000003,19640331,20051002,S&P 500 Comp-Ltd,I0003,G.1,375766102
001581,000003,19640331,20051120,S&P 500 Comp-Ltd,I0003,T.2,001957505
005134,000003,19640331,20051219,S&P 500 Comp-Ltd,I0003,GP.1,373298108
003734,000003,19640331,20060302,S&P 500 Comp-Ltd,I0003,DAN,235811106
007139,000003,19640331,20060402,S&P 500 Comp-Ltd,I0003,MYG.1,578592107
006081,000003,19640331,20061219,S&P 500 Comp-Ltd,I0003,NAV,63934E108
008470,000003,19640331,20070221,S&P 500 Comp-Ltd,I0003,PGL.1,711030106
008536,000003,19640331,20070319,S&P 500 Comp-Ltd,I0003,PD.1,717265102
010507,000003,19640331,20071009,S&P 500 Comp-Ltd,I0003,0033A,873168108
011609,000003,19640331,20081006,S&P 500 Comp-Ltd,I0003,WWY,982526105
002504,000003,19640331,20081110,S&P 500 Comp-Ltd,I0003,UIS,909214306
005589,000003,19640331,20081113,S&P 500 Comp-Ltd,I0003,HPC,427056106
005073,000003,19640331,20090602,S&P 500 Comp-Ltd,I0003,GM,62010A105
005959,000003,19640331,20090630,S&P 500 Comp-Ltd,I0003,IR,G47791101
003497,000003,19640331,20090908,S&P 500 Comp-Ltd,I0003,CBE,G24140108
001478,000003,19640331,20091015,S&P 500 Comp-Ltd,I0003,WYE,983024100
009459,000003,19640331,20091103,S&P 500 Comp-Ltd,I0003,SGP,806605101
002490,000003,19640331,20100215,S&P 500 Comp-Ltd,I0003,BRK3,12189T104
004194,000003,19640331,20101219,S&P 500 Comp-Ltd,I0003,KODK,277461109
005860,000003,19640331,20111031,S&P 500 Comp-Ltd,I0003,ITT,45073V108
001995,000003,19640331,20120313,S&P 500 Comp-Ltd,I0003,CEG,210371100
005229,000003,19640331,20120730,S&P 500 Comp-Ltd,I0003,GR,382388106
005568,000003,19640331,20130606,S&P 500 Comp-Ltd,I0003,KHC,423074103
008446,000003,19640331,20131201,S&P 500 Comp-Ltd,I0003,JCP,708160106
001408,000003,19640331,20140430,S&P 500 Comp-Ltd,I0003,BEAM,073730103
011446,000003,19640331,20150701,S&P 500 Comp-Ltd,I0003,MWV,583334107
001356,000003,19640331,20161031,S&P 500 Comp-Ltd,I0003,AA.3,013817507
008606,000003,19640331,20170228,S&P 500 Comp-Ltd,I0003,PBI,724479100
001976,000003,19640331,20170704,S&P 500 Comp-Ltd,I0003,BHI,057224107
004087,000003,19640331,20170831,S&P 500 Comp-Ltd,I0003,DD,263534109
008264,000003,19640331,20190117,S&P 500 Comp-Ltd,I0003,PCG,69331C108
005234,000003,19640331,20190226,S&P 500 Comp-Ltd,I0003,GT,382550101
009667,000003,19640630,,S&P 500 Comp-Ltd,I0003,SHW,824348106
010576,000003,19640630,20010115,S&P 500 Comp-Ltd,I0003,TWX.1,887315109
011274,000003,19640930,19871130,S&P 500 Comp-Ltd,I0003,JWC.,933169104
005824,000003,19640930,19980129,S&P 500 Comp-Ltd,I0003,PAS,71343P200
003650,000003,19650331,,S&P 500 Comp-Ltd,I0003,CMI,231021106
004321,000003,19650331,,S&P 500 Comp-Ltd,I0003,EMR,291011104
009465,000003,19650331,,S&P 500 Comp-Ltd,I0003,SLB,806857108
005321,000003,19650630,19970701,S&P 500 Comp-Ltd,I0003,GWF.,391442100
007155,000003,19651231,19970803,S&P 500 Comp-Ltd,I0003,MD.1,580169100
010580,000003,19651231,20000612,S&P 500 Comp-Ltd,I0003,TMC,887364107
007099,000003,19660630,19960905,S&P 500 Comp-Ltd,I0003,VAT,92224R602
004189,000003,19660930,20001101,S&P 500 Comp-Ltd,I0003,EFU.1,27637F100
010490,000003,19661231,19890331,S&P 500 Comp-Ltd,I0003,PEL4,882387103
002729,000003,19661231,19960211,S&P 500 Comp-Ltd,I0003,CCB.2,139859102
010391,000003,19670331,20071115,S&P 500 Comp-Ltd,I0003,TEK.1,879131100
009104,000003,19670630,19851031,S&P 500 Comp-Ltd,I0003,4640A,76199X009
002987,000003,19670630,19870131,S&P 500 Comp-Ltd,I0003,CBM.4,165339102
005361,000003,19670630,19940415,S&P 500 Comp-Ltd,I0003,GQ.1,400181103
001608,000003,19670630,19990404,S&P 500 Comp-Ltd,I0003,AMP.2,031897101
001920,000003,19670630,20150322,S&P 500 Comp-Ltd,I0003,AVP,054303102
002574,000003,19670930,,S&P 500 Comp-Ltd,I0003,CSX,126408103
009320,000003,19670930,19850131,S&P 500 Comp-Ltd,I0003,SFN.,784150104
003568,000003,19670930,19850630,S&P 500 Comp-Ltd,I0003,COX.,224043109
006861,000003,19670930,19901130,S&P 500 Comp-Ltd,I0003,MCA.1,552653107
009963,000003,19670930,20001211,S&P 500 Comp-Ltd,I0003,SMI.1,851783100
001098,000003,19680331,19920702,S&P 500 Comp-Ltd,I0003,AMT.1,004626107
008537,000003,19680331,19971127,S&P 500 Comp-Ltd,I0003,C2,173073008
003851,000003,19680331,20050818,S&P 500 Comp-Ltd,I0003,DAL,247361108
005468,000003,19680630,19911031,S&P 500 Comp-Ltd,I0003,HBJ,411631104
002433,000003,19680630,19920630,S&P 500 Comp-Ltd,I0003,BNSSA,055966402
002393,000003,19680630,20010402,S&P 500 Comp-Ltd,I0003,BGG,109043109
007260,000003,19680630,20110103,S&P 500 Comp-Ltd,I0003,MDP,589433101
009234,000003,19680930,19880331,S&P 500 Comp-Ltd,I0003,ROP.1,776678104
001062,000003,19680930,19890731,S&P 500 Comp-Ltd,I0003,ASA,G3156P103
003121,000003,19690331,,S&P 500 Comp-Ltd,I0003,CLX,189054109
005071,000003,19690331,,S&P 500 Comp-Ltd,I0003,GIS,370334104
006819,000003,19690331,19971022,S&P 500 Comp-Ltd,I0003,LLX.,546268103
010156,000003,19690331,20121004,S&P 500 Comp-Ltd,I0003,SUN.1,86764P109
007881,000003,19690630,,S&P 500 Comp-Ltd,I0003,NEM,651639106
001409,000003,19690630,19851231,S&P 500 Comp-Ltd,I0003,ABC.2,024735102
003480,000003,19690630,20010401,S&P 500 Comp-Ltd,I0003,4622B,156779100
005245,000003,19690930,19880930,S&P 500 Comp-Ltd,I0003,GLD.3,383492105
007154,000003,19700630,,S&P 500 Comp-Ltd,I0003,MCD,580135101
005187,000003,19700630,19851231,S&P 500 Comp-Ltd,I0003,GSF.2,G3930E101
006351,000003,19700630,19890228,S&P 500 Comp-Ltd,I0003,SAI.1,866930100
005662,000003,19700630,19900131,S&P 500 Comp-Ltd,I0003,HIA.1,435071105
007063,000003,19700630,19930930,S&P 500 Comp-Ltd,I0003,HST,44107P104
002917,000003,19700630,20000618,S&P 500 Comp-Ltd,I0003,CHA.3,158525105
008692,000003,19700630,20010708,S&P 500 Comp-Ltd,I0003,PCH,737630103
005643,000003,19700630,20071024,S&P 500 Comp-Ltd,I0003,HLT,432848109
002290,000003,19700630,20080622,S&P 500 Comp-Ltd,I0003,OMX,67622P101
006730,000003,19701231,,S&P 500 Comp-Ltd,I0003,LLY,532457108
001239,000003,19710331,20061116,S&P 500 Comp-Ltd,I0003,ACV.1,013078100
007152,000003,19710930,20030819,S&P 500 Comp-Ltd,I0003,MDR,580037703
008937,000003,19711231,19891220,S&P 500 Comp-Ltd,I0003,RAM.3,751328105
008974,000003,19720331,19890731,S&P 500 Comp-Ltd,I0003,FLC.2,74912E945
006038,000003,19720331,19930712,S&P 500 Comp-Ltd,I0003,IK,458702107
002086,000003,19720930,,S&P 500 Comp-Ltd,I0003,BAX,071813109
002111,000003,19720930,,S&P 500 Comp-Ltd,I0003,BDX,075887109
001481,000003,19720930,19851031,S&P 500 Comp-Ltd,I0003,AHS.1,026681106
005458,000003,19730331,19960307,S&P 500 Comp-Ltd,I0003,HDLM,410252100
008202,000003,19730331,19960930,S&P 500 Comp-Ltd,I0003,9975B,690020102
002444,000003,19730331,20080622,S&P 500 Comp-Ltd,I0003,BC,117043109
010332,000003,19730331,20110630,S&P 500 Comp-Ltd,I0003,RSHCQ,74979E101
006266,000003,19730630,,S&P 500 Comp-Ltd,I0003,JNJ,478160104
005775,000003,19730630,19870331,S&P 500 Comp-Ltd,I0003,HT.,444492102
001194,000003,19730630,19980930,S&P 500 Comp-Ltd,I0003,AHM.1,008677106
002796,000003,19730930,19910131,S&P 500 Comp-Ltd,I0003,BWY.1,111572103
005125,000003,19731231,,S&P 500 Comp-Ltd,I0003,GPC,372460105
004204,000003,19731231,19980709,S&P 500 Comp-Ltd,I0003,ECH.1,278749106
009002,000003,19740630,19880930,S&P 500 Comp-Ltd,I0003,RDMN,757642103
010950,000003,19740630,19910331,S&P 500 Comp-Ltd,I0003,UH,911920106
009761,000003,19740630,19950730,S&P 500 Comp-Ltd,I0003,SKY.1,83099K939
004768,000003,19740630,20000130,S&P 500 Comp-Ltd,I0003,FLTWQ,339099103
005606,000003,19741231,,S&P 500 Comp-Ltd,I0003,HPQ,40434L105
